report_date_as_yyyy_mm_dd,market_and_exchange_names,open_interest_all,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,lev_net_position
2013-08-27,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,181394,14266,34822,1194,-20556
2013-09-03,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2986537,561164,874630,102046,-313466
2013-09-03,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,789961,91986,176686,57151,-84700
2013-09-03,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,192654,15289,37296,1206,-22007
2013-09-10,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,810027,92372,182138,54749,-89766
2013-09-10,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,201056,15270,36275,1390,-21005
2013-09-10,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3044856,552131,895934,100176,-343803
2013-09-17,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,250157,23484,37714,1931,-14230
2013-09-17,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,917682,103239,177690,76225,-74451
2013-09-17,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3337625,588831,889937,181414,-301106
2013-09-24,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2624099,430914,717646,85141,-286732
2013-09-24,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,150754,9576,4676,790,4900
2013-09-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,675574,94248,146695,19329,-52447
2013-10-01,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2623895,450746,699597,86936,-248851
2013-10-01,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,677685,93291,143393,26641,-50102
2013-10-01,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,152906,11638,11970,757,-332
2013-10-08,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,155413,11233,17975,810,-6742
2013-10-08,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,701923,99685,146020,34321,-46335
2013-10-08,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2732549,510663,708625,99154,-197962
2013-10-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,695078,105935,146007,28483,-40072
2013-10-15,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2690273,530394,714083,78392,-183689
2013-10-15,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,157023,11841,15175,820,-3334
2013-10-22,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,161973,12394,22051,672,-9657
2013-10-22,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2732821,563340,717566,77837,-154226
2013-10-22,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,708537,107411,147913,33891,-40502
2013-10-29,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,166790,15013,22695,697,-7682
2013-10-29,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2771653,564238,733867,85276,-169629
2013-10-29,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,721121,108644,150252,36969,-41608
2013-11-05,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2813333,604045,749336,97436,-145291
2013-11-05,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,165992,13408,30617,948,-17209
2013-11-05,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,728659,109208,155475,45444,-46267
2013-11-12,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,728575,113224,157592,42961,-44368
2013-11-12,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2811253,614815,744366,99605,-129551
2013-11-12,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,166324,12263,30721,1038,-18458
2013-11-19,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,745718,109430,155321,53802,-45891
2013-11-19,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,169135,15159,32641,1483,-17482
2013-11-19,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2882916,612867,754914,120083,-142047
2013-11-26,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,741827,110332,156000,53809,-45668
2013-11-26,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,168933,14756,34121,1320,-19365
2013-11-26,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2864468,620191,751708,120133,-131517
2013-12-03,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,164842,14306,37228,1534,-22922
2013-12-03,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2917291,645803,750461,139811,-104658
2013-12-03,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,748300,112648,156502,60314,-43854
2013-12-10,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2947491,607440,748668,165078,-141228
2013-12-10,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,175153,17059,33274,2016,-16215
2013-12-10,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,764651,112101,156562,61478,-44461
2013-12-17,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,199902,16907,38118,2985,-21211
2013-12-17,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,873627,113473,142327,87201,-28854
2013-12-17,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3368625,660265,698476,243647,-38211
2013-12-24,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,134756,8913,4940,576,3973
2013-12-24,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2750132,504329,774351,69744,-270022
2013-12-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,684782,107271,157302,17033,-50031
2013-12-31,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,142559,8029,8612,722,-583
2013-12-31,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,700432,108808,161711,21000,-52903
2013-12-31,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2789364,519279,780883,86003,-261604
2014-01-07,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,141573,9189,9836,1257,-647
2014-01-07,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2790363,512931,764062,86250,-251131
2014-01-07,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,699646,106315,157188,23967,-50873
2014-01-14,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,142427,11601,14000,1524,-2399
2014-01-14,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,719529,107764,167540,32692,-59776
2014-01-14,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2885511,543684,830570,92972,-286886
2014-01-21,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,722076,104402,172204,32140,-67802
2014-01-21,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2871444,517028,865161,84592,-348133
2014-01-21,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,147787,14693,12869,1525,1824
2014-01-28,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,161367,15157,14794,1583,363
2014-01-28,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,743768,112908,175695,32860,-62787
